Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Médiane du revenu disponible par UC 2020
02459;Marcy;26220
02460;Marcy-sous-Marle;19680
02461;Marest-Dampcourt;22060
02462;Mareuil-en-Dôle;21750
02463;Marfontaine;N/A
02464;Margival;22040
02465;Marigny-en-Orxois;22950
02466;Marizy-Sainte-Geneviève;22870
02467;Marizy-Saint-Mard;N/A
02468;Marle;17930
02469;Marly-Gomont;18500
02470;Martigny;19020
02471;Martigny-Courpierre;22620
02472;Mauregny-en-Haye;20520
02473;Mayot;20040
02474;Mennessis;22430
02476;Mennevret;18020
02477;Mercin-et-Vaux;24220
02478;Merlieux-et-Fouquerolles;21570
02480;Mesbrecourt-Richecourt;22100
02481;Mesnil-Saint-Laurent;29000
02482;Meurival;N/A
02483;Mézières-sur-Oise;22700
02484;Mézy-Moulins;21540
02485;Missy-aux-Bois;N/A
02486;Missy-lès-Pierrepont;N/A
02487;Missy-sur-Aisne;22580
02488;Molain;20190
02489;Molinchart;24990
02490;Monampteuil;27750
02491;Monceau-le-Neuf-et-Faucouzy;19180
02492;Monceau-lès-Leups;20990
02493;Monceau-le-Waast;21160
02494;Monceau-sur-Oise;22130
02495;Mondrepuis;20400
02496;Monnes;23090
02497;Mons-en-Laonnois;23260
02498;Montaigu;21100
02499;Montbavin;N/A
02500;Montbrehain;19000
02501;Montchâlons;N/A
02502;Montcornet;17200
02503;Mont-d'Origny;18970
02504;Montescourt-Lizerolles;20440
02505;Montfaucon;22980
02506;Montgobert;24990
02507;Montgru-Saint-Hilaire;N/A
02508;Monthenault;23140
02509;Monthiers;22510
02510;Monthurel;24030
02511;Montigny-en-Arrouaise;19490
02512;Montigny-l'Allier;22610
02513;Montigny-le-Franc;21030
02514;Montigny-Lengrain;21560
02515;Montigny-lès-Condé;N/A
02516;Montigny-sous-Marle;N/A
02517;Montigny-sur-Crécy;19540
02518;Montlevon;21920
02519;Montloué;16300
02520;Mont-Notre-Dame;21860
02521;Montreuil-aux-Lions;23700
02522;Mont-Saint-Jean;N/A
02523;Mont-Saint-Martin;N/A
02524;Mont-Saint-Père;23140
02525;Morcourt;24280
02526;Morgny-en-Thiérache;N/A
02527;Morsain;22510
02528;Mortefontaine;23800
02529;Mortiers;20900
02530;Moulins;N/A
02531;Moussy-Verneuil;22030
02532;Moÿ-de-l'Aisne;22290
02533;Muret-et-Crouttes;23840
02534;Muscourt;N/A
02535;Nampcelles-la-Cour;20730
02536;Nampteuil-sous-Muret;N/A
02537;Nanteuil-la-Fosse;21940
02538;Nanteuil-Notre-Dame;N/A
02539;Nauroy;20790
02540;Nesles-la-Montagne;23350
02541;Neufchâtel-sur-Aisne;22580
02542;Neuflieux;N/A
02543;Neuilly-Saint-Front;20380
02544;Neuve-Maison;19290
02545;La Neuville-Bosmont;20850
02546;La Neuville-en-Beine;21930
02547;La Neuville-Housset;N/A
02548;La Neuville-lès-Dorengt;19790
02549;Neuville-Saint-Amand;23410
02550;Neuville-sur-Ailette;21180
02551;Neuville-sur-Margival;21650
02552;Neuvillette;24040
02553;Nizy-le-Comte;20060
02554;Nogentel;23900
02555;Nogent-l'Artaud;21080
02556;Noircourt;N/A
02557;Noroy-sur-Ourcq;22220
02558;Le Nouvion-en-Thiérache;18770
02559;Nouvion-et-Catillon;19000
02560;Nouvion-le-Comte;23450
02561;Nouvion-le-Vineux;26230
02562;Nouvron-Vingré;20910
02563;Noyales;18750
02564;Noyant-et-Aconin;23480
02565;Œuilly;22060
02566;Ognes;22650
