Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Densité de population 2019
02452;Maissemy;28.89
02453;Maizy;56.98
02454;La Malmaison;15.78
02455;Malzy;19.81
02456;Manicamp;29.2
02457;Marchais;26.41
02458;Dhuys et Morin-en-Brie;20.48
02459;Marcy;22.05
02460;Marcy-sous-Marle;45.79
02461;Marest-Dampcourt;45.87
02462;Mareuil-en-Dôle;26.22
02463;Marfontaine;9.66
02464;Margival;66.73
02465;Marigny-en-Orxois;32.97
02466;Marizy-Sainte-Geneviève;17.25
02467;Marizy-Saint-Mard;11.23
02468;Marle;162.07
02469;Marly-Gomont;37.57
02470;Martigny;25.65
02471;Martigny-Courpierre;30.27
02472;Mauregny-en-Haye;39.1
02473;Mayot;62.87
02474;Mennessis;74.95
02476;Mennevret;56.27
02477;Mercin-et-Vaux;124.07
02478;Merlieux-et-Fouquerolles;45.23
02480;Mesbrecourt-Richecourt;34.74
02481;Mesnil-Saint-Laurent;86.79
02482;Meurival;18.69
02483;Mézières-sur-Oise;53.49
02484;Mézy-Moulins;117.63
02485;Missy-aux-Bois;30.92
02486;Missy-lès-Pierrepont;16.21
02487;Missy-sur-Aisne;192.92
02488;Molain;86.19
02489;Molinchart;76.51
02490;Monampteuil;21.5
02491;Monceau-le-Neuf-et-Faucouzy;16.43
02492;Monceau-lès-Leups;34.14
02493;Monceau-le-Waast;41.4
02494;Monceau-sur-Oise;21.67
02495;Mondrepuis;51.45
02496;Monnes;20.33
02497;Mons-en-Laonnois;281.46
02498;Montaigu;32.45
02499;Montbavin;7.9
02500;Montbrehain;81.82
02501;Montchâlons;13.76
02502;Montcornet;230.66
02503;Mont-d'Origny;61.46
02504;Montescourt-Lizerolles;256.92
02505;Montfaucon;13.41
02506;Montgobert;17.44
02507;Montgru-Saint-Hilaire;9.57
02508;Monthenault;51.36
02509;Monthiers;21.17
02510;Monthurel;39.12
02511;Montigny-en-Arrouaise;30.19
02512;Montigny-l'Allier;26.63
02513;Montigny-le-Franc;13.94
02514;Montigny-Lengrain;61.86
02515;Montigny-lès-Condé;11.53
02516;Montigny-sous-Marle;9.14
02517;Montigny-sur-Crécy;35.05
02518;Montlevon;13.38
02519;Montloué;11.94
02520;Mont-Notre-Dame;74.4
02521;Montreuil-aux-Lions;105
02522;Mont-Saint-Jean;18.64
